"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","48197","MI","""Ann Arbor, MI""",1460,147,5.98802395209581,61,1,0.586552217453505
"Zip","48103","MI","""Ann Arbor, MI""",1729,147,8.41584158415842,70,8,0.586552217453505
"Zip","48198","MI","""Ann Arbor, MI""",3105,147,4.11764705882353,68,3,0.586552217453505
"Zip","48104","MI","""Ann Arbor, MI""",3128,147,9,58,5,0.586552217453505
"Zip","48105","MI","""Ann Arbor, MI""",3588,147,8.33333333333333,62,4,0.586552217453505
"Zip","48108","MI","""Ann Arbor, MI""",5364,147,8.33333333333333,57.5,2,0.586552217453505
"Zip","48176","MI","""Ann Arbor, MI""",6773,147,13.2075471698113,85,10,0.586552217453505
"Zip","48130","MI","""Ann Arbor, MI""",7938,147,0.917431192660551,103,6,0.586552217453505
"Zip","48118","MI","""Ann Arbor, MI""",8104,147,9.52380952380952,69.5,9,0.586552217453505
"Zip","48160","MI","""Ann Arbor, MI""",8342,147,6.09756097560976,80.5,7,0.586552217453505
"Zip","28806","NC","""Asheville, NC""",2695,117,9.85221674876847,78,1,6.5379113018598
"Zip","28803","NC","""Asheville, NC""",3686,117,8.40336134453782,99,5.5,6.5379113018598
"Zip","28792","NC","""Asheville, NC""",4040,117,10.7784431137725,87,2.5,6.5379113018598
"Zip","28715","NC","""Asheville, NC""",5225,117,10.8843537414966,95,6,6.5379113018598
"Zip","28786","NC","""Asheville, NC""",5761,117,7.60869565217391,91,0.5,6.5379113018598
"Zip","28787","NC","""Asheville, NC""",5968,117,10.958904109589,99,9,6.5379113018598
"Zip","28804","NC","""Asheville, NC""",5989,117,12.9533678756477,92.5,7,6.5379113018598
"Zip","28704","NC","""Asheville, NC""",6031,117,8.97435897435897,94,3.5,6.5379113018598
"Zip","28739","NC","""Asheville, NC""",6274,117,14.0969162995595,88,7.5,6.5379113018598
"Zip","28805","NC","""Asheville, NC""",6658,117,12.7272727272727,76,3,6.5379113018598
"Zip","28716","NC","""Asheville, NC""",7034,117,5.94059405940594,95,2,6.5379113018598
"Zip","28732","NC","""Asheville, NC""",7133,117,12.7118644067797,77,4,6.5379113018598
