"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-02-28,26942,"San Antonio","FL","Tampa","Pasco",12451,194100,0.0172955974842767,0.0302547770700637,0.0959909655561829,0.090089332648243,0.0107596712370952,"2006-10","2006-Q4",212100,-0.0848656294200849,"2005-11"
2018-02-28,22895,"South Pekin","IL","Peoria","Tazewell",12452,67500,-0.0188953488372093,-0.0343347639484979,-0.0273775216138329,-0.0147331465882594,-0.00968562365229586,"2008-04","2008-Q2",74600,-0.0951742627345844,"2005-03"
2018-02-28,32320,"Kiowa","KS",,"Barber",12453,57400,-0.00173913043478261,-0.00863557858376511,0.00878734622144113,0.0164622263481493,,"2017-08","2017-Q3",58600,-0.0204778156996587,"2017-04"
2018-02-28,27996,"Winthrop","WA",,"Okanogan",12454,310200,-0.00417335473515249,-0.00385356454720617,0.012402088772846,0.046535125991173,-0.000386026338398682,"2009-02","2009-Q1",329400,-0.058287795992714,"2008-02"
2018-02-28,40407,"Portage","OH","Toledo","Wood",12455,129900,-0.00383435582822086,-0.0083969465648855,-0.0114155251141552,0.0330658742678813,,"2017-04","2017-Q2",133400,-0.0262368815592204,"2016-12"
2018-02-28,233069,"Encantada-Ranchito El Calaboz","TX","Brownsville","Cameron",12456,62500,0.00644122383252818,-0.00950871632329636,0.0434056761268781,0.0669604381459679,,"2017-08","2017-Q3",64400,-0.0295031055900621,"2017-05"
2018-02-28,11492,"Fort Loramie","OH","Sidney","Shelby",12457,175400,0.0109510086455331,0.0409495548961424,0.01270207852194,0.0217621393533132,0.010502169373612,"2016-09","2016-Q3",176000,-0.00340909090909091,"2016-09"
2018-02-28,18579,"Hillsboro","TN","Tullahoma","Coffee",12458,141200,0.0100143061516452,-0.00141442715700141,0.0114613180515759,0.046865742139699,0.0155584700177267,"2017-07","2017-Q3",141900,-0.00493305144467935,"2017-06"
2018-02-28,32576,"Lorida","FL","Sebring","Highlands",12459,137300,-0.00290486564996369,0.0162842339008142,0.0480916030534351,0.0639671353461859,-0.00874157751159799,"2006-06","2006-Q2",195300,-0.296979006656426,"2005-04"
2018-02-28,6052,"Morrisville","VT",,"Lamoille",12460,186900,-0.00796178343949045,-0.00848806366047745,0.0168661588683351,0.021550883955737,0.0511418902250917,"2017-06","2017-Q2",194400,-0.0385802469135802,"2017-03"
2018-02-28,9664,"Oronoco","MN","Rochester","Olmsted",12461,357900,0.0196581196581197,0.0419213973799127,0.111145606954362,0.058141994570363,0.023505630776697,"2018-02","2018-Q1",357900,0,"2018-02"
