"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"96822","HI","Urban Honolulu","Honolulu","Honolulu",1101,3039,-0.0117073170731707,-0.0434372049102927,-0.0649230769230769,5617
2018-02-28,"02860","RI","Providence","Providence","Pawtucket",1102,1550,0.0163934426229508,0.054421768707483,0.0508474576271186,4099
2018-02-28,"49424","MI","Grand Rapids","Ottawa","Holland",1103,1421,-0.00975609756097561,-0.0346467391304348,0.0215672178289001,11258
2018-02-28,"90803","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",1104,3436,0.0005824111822947,0.0005824111822947,-0.00722334585379948,4914
2018-02-28,"75006","TX","Dallas-Fort Worth","Denton","Carrollton",1105,1702,0,0.00710059171597633,0.0448127685696746,9084
2018-02-28,"29412","SC","Charleston","Charleston","Charleston",1106,1937,-0.0020607934054611,-0.0132450331125828,0.0114882506527415,12375
2018-02-28,"39402","MS","Hattiesburg","Forrest","Hattiesburg",1107,1248,-0.00557768924302789,-0.00873709293089754,0.015459723352319,15382
2018-02-28,"78155","TX","San Antonio","Guadalupe","Seguin",1108,1362,0.000734753857457751,-0.0043859649122807,-0.0130434782608696,12945
2018-02-28,"02895","RI","Providence","Providence","Woonsocket",1109,1506,0.00938337801608579,0.0465601111883252,0.0553608969866854,4667
2018-02-28,"90503","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Torrance",1110,3365,0.00387828162291169,0.00899550224887556,0.00507765830346475,7524
2018-02-28,"95610","CA","Sacramento","Sacramento","Citrus Heights",1111,1747,0.00402298850574713,0.00982658959537572,0.0626520681265207,9940
2018-02-28,"30605","GA","Athens","Clarke","Athens",1112,1176,0.00341296928327645,0.0164217804667243,0.0333919156414763,10111
2018-02-28,"16801","PA","State College","Centre","State College",1113,1634,0.00306936771025169,-0.0174383644016837,0.00368550368550369,7293
2018-02-28,"21221","MD","Baltimore","Baltimore","Essex",1114,1582,0.0102171136653895,0.018018018018018,0.0272727272727273,12721
2018-02-28,"98105","WA","Seattle","King","Seattle",1115,3177,-0.0108966376089664,-0.0410504074856625,0.00985378258105531,6343
2018-02-28,"68516","NE","Lincoln","Lancaster","Lincoln",1116,1646,-0.00423472474289171,-0.000607164541590771,0.0660621761658031,11239
2018-02-28,"40509","KY","Lexington","Fayette","Lexington",1117,1427,-0.00279524807826695,-0.00488145048814505,0.0295815295815296,12929
2018-02-28,"92324","CA","Riverside","San Bernardino","Colton",1118,1620,-0.00430239704978488,-0.00123304562268804,0.0567514677103718,10676
2018-02-28,"11106","NY","New York","New York","New York",1119,2364,0.00211954217888936,-0.00672268907563025,0.0247074122236671,414
2018-02-28,"77040","TX","Houston","Harris","Houston",1120,1450,0.00138121546961326,0.00554785020804438,0.00554785020804438,11771
2018-02-28,"37920","TN","Knoxville","Knox","Knoxville",1121,1122,0.000892060660124889,0.00268096514745308,0.122,13613
