"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"90247","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Gardena",1273,2458,0.000407000407000407,-0.000406669377795852,0.0327731092436975,8459
2018-02-28,"29803","SC","Augusta","Aiken","Aiken",1274,1242,0.00566801619433198,0.0105777054515867,0.0008058017727639,19385
2018-02-28,"95403","CA","Santa Rosa","Sonoma","Santa Rosa",1275,2698,0.0215827338129496,0.0353031465848043,0.0817963111467522,11301
2018-02-28,"55408","MN","Minneapolis-St Paul","Hennepin","Minneapolis",1276,1590,0.00189035916824197,0.0101651842439644,0.0371819960861057,7213
2018-02-28,"91942","CA","San Diego","San Diego","La Mesa",1277,2407,0.000831600831600832,0.00922431865828092,0.058021978021978,10355
2018-02-28,"30097","GA","Atlanta","Gwinnett","Duluth",1278,2296,0.00305810397553517,0.000871839581517001,-0.0192225544639043,15544
2018-02-28,"90045","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1279,3868,0.00181300181300181,0.00207253886010363,0.00729166666666667,10588
2018-02-28,"46220","IN","Indianapolis","Marion","Indianapolis",1280,1318,-0.00902255639097744,-0.0273062730627306,0.0154083204930663,13660
2018-02-28,"30324","GA","Atlanta","Fulton","Atlanta",1281,1995,-0.0025,-0.0153010858835143,0.0132046724225495,7762
2018-02-28,"90016","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1282,2718,0.00443458980044346,0.0149365197908887,0.0625488663017983,9425
2018-02-28,"37115","TN","Nashville","Davidson","Nashville",1283,1350,0.000741289844329133,-0.010989010989011,0.0297482837528604,10731
2018-02-28,"98837","WA","Moses Lake","Grant","Moses Lake",1284,1049,0.00768491834774256,0.0304518664047151,0.104210526315789,9708
2018-02-28,"47905","IN","Lafayette-West Lafayette","Tippecanoe","Lafayette",1285,1197,0.00419463087248322,0.0169923534409516,0.0336787564766839,12441
2018-02-28,"98277","WA","Oak Harbor","Island","Oak Harbor",1286,1570,0.00127551020408163,0.00512163892445583,0.0494652406417112,13937
2018-02-28,"59101","MT","Billings","Yellowstone","Billings",1287,1052,-0.00189753320683112,-0.0103480714957667,0.0405539070227498,11900
2018-02-28,"85706","AZ","Tucson","Pima","Tucson",1288,998,-0.002,-0.00696517412935323,0.0583244962884411,10567
2018-02-28,"84041","UT","Ogden","Davis","Layton",1289,1438,0,0.00629811056682995,0.0565760470242469,12059
2018-02-28,"15317","PA","Pittsburgh","Washington","North Strabane",1290,1719,0,0.0029171528588098,-0.00520833333333333,15893
2018-02-28,"33161","FL","Miami-Fort Lauderdale","Miami-Dade","North Miami",1291,1859,0.00161637931034483,0.00432198811453269,0.00922909880564604,13251
2018-02-28,"33904","FL","Fort Myers","Lee","Cape Coral",1292,1545,0.00980392156862745,0.0124508519003932,-0.020291693088142,19028
2018-02-28,"80631","CO","Greeley","Weld","Greeley",1293,1353,0.0104555638536221,0.0211320754716981,0.0529182879377432,12127
2018-02-28,"29407","SC","Charleston","Charleston","Charleston",1294,1749,0.00575043128234618,0.0168604651162791,0.0392156862745098,12377
2018-02-28,"65109","MO","Jefferson City","Cole","Jefferson City",1295,958,0.00419287211740042,0.00104493207941484,0.0632630410654828,11479
2018-02-28,"21502","MD","Cumberland","Allegany","Cumberland",1296,830,-0.0492554410080183,-0.15650406504065,-0.220657276995305,19867
2018-02-28,"94590","CA","Vallejo","Solano","Vallejo",1297,1875,0.000533617929562433,0.00806451612903226,0.0659465605457646,10503
2018-02-28,"19460","PA","Philadelphia","Chester","Phoenixville",1298,1855,0.00107933081489477,0.00324499729583559,0.0220385674931129,14663
2018-02-28,"29210","SC","Columbia","Richland","Columbia",1299,1037,-0.000963391136801541,0.00387221684414327,0.00484496124031008,8953
2018-02-28,"44203","OH","Akron","Summit","Barberton",1300,847,0.00355450236966825,0.00474495848161329,0.0341880341880342,15186
2018-02-28,"63026","MO","St. Louis","Saint Louis","Fenton",1301,1414,0.00212615166548547,-0.00211714890613973,0.00640569395017794,14695
2018-02-28,"20772","MD","Washington","Prince Georges","Greater Upper Marlboro",1302,1991,0.00555555555555556,0.0142638818135507,0.0241769547325103,19720
2018-02-28,"63017","MO","St. Louis","Saint Louis","Chesterfield",1303,2166,-0.00322135296824666,-0.00596603946764571,-0.0114103149246919,15646
2018-02-28,"90043","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1304,2754,0.0062111801242236,0.021513353115727,0.104250200481155,11127
2018-02-28,"33165","FL","Miami-Fort Lauderdale","Miami-Dade","University Park",1305,2290,0.00218818380743982,-0.000436490615451768,0.0186832740213523,16124
2018-02-28,"80220","CO","Denver","Denver","Denver",1306,2192,-0.000455996352029184,-0.0165993719156572,-0.00634632819582956,12709
2018-02-28,"29621","SC","Greenville","Anderson","Anderson",1307,1248,0.0121654501216545,0.0339685169842585,0.0443514644351465,14642
2018-02-28,"44094","OH","Cleveland","Lake","Willoughby",1308,1320,-0.000757002271006813,0.00303951367781155,-0.0104947526236882,12463
2018-02-28,"90022","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","East Los Angeles",1309,2261,0.00132860938883968,0.0129928315412186,0.059016393442623,8885
2018-02-28,"31061","GA","Milledgeville","Baldwin","Milledgeville",1310,1082,0.0150093808630394,0.0324427480916031,0.0314585319351764,9064
2018-02-28,"91304","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1311,2937,0.00136379133992499,0.00170532060027285,0.0403825717321998,10540
2018-02-28,"55416","MN","Minneapolis-St Paul","Hennepin","Saint Louis Park",1312,1827,0.00550357732526142,0.00550357732526142,0.0333710407239819,12311
2018-02-28,"15068","PA","Pittsburgh","Westmoreland","New Kensington",1313,937,0.0206971677559913,0.0684150513112885,0.102352941176471,14753
2018-02-28,"94114","CA","San Francisco","San Francisco","San Francisco",1314,5286,-0.00545625587958608,-0.0130694548170276,-0.00937031484257871,9700
2018-02-28,"96818","HI","Urban Honolulu","Honolulu","Honolulu",1315,2040,-0.00244498777506112,-0.0063321967851924,-0.00195694716242661,9859
2018-02-28,"95822","CA","Sacramento","Sacramento","Sacramento",1316,1559,-0.00255918106206014,-0.00573979591836735,0.0932678821879383,13916
2018-02-28,"38109","TN","Memphis","Shelby","Memphis",1317,694,0.00144300144300144,0.00725689404934688,0.0146198830409357,17946
2018-02-28,"90037","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1318,2434,0.00123406005758947,0.00453982666116385,0.0619546247818499,7129
2018-02-28,"97123","OR","Portland","Washington","Hillsboro",1319,1783,0,0.00962627406568516,0.0463615023474178,12212
2018-02-28,"92870","CA","Los Angeles-Long Beach-Anaheim","Orange","Placentia",1320,2998,0.00133600534402138,0.00267558528428094,0.0214650766609881,13530
