GEO.id,GEO.id2,GEO.display-label,HC01_VC04,HC01_VC05,HC03_VC49,HC03_VC50,HC03_VC56
Id,Id2,Geography,Estimate; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - Asian
8600000US98245,98245,ZCTA5 98245,1856,1998,91.5,0.9,1.8
8600000US98247,98247,ZCTA5 98247,5298,5093,78.2,0.1,0.8
8600000US98248,98248,ZCTA5 98248,10917,12246,83.9,1.3,3.7
8600000US98249,98249,ZCTA5 98249,2120,2026,94.1,0,1.3
8600000US98250,98250,ZCTA5 98250,3685,3998,92.9,0.6,1.1
8600000US98251,98251,ZCTA5 98251,2229,2030,94.1,0.2,0.1
8600000US98252,98252,ZCTA5 98252,4880,4579,92.5,0.4,0.9
8600000US98253,98253,ZCTA5 98253,927,795,96.9,0,0
8600000US98255,98255,ZCTA5 98255,87,50,96.4,0,0
8600000US98256,98256,ZCTA5 98256,220,187,98.5,0,1.5
8600000US98257,98257,ZCTA5 98257,1841,1987,82.3,0.2,0.6
8600000US98258,98258,ZCTA5 98258,16645,15725,87.7,0.4,3.1
8600000US98260,98260,ZCTA5 98260,2420,3180,93.6,0.5,3.1
8600000US98261,98261,ZCTA5 98261,1237,1358,91.6,0.9,1.2
8600000US98262,98262,ZCTA5 98262,474,477,96.4,0,0
8600000US98263,98263,ZCTA5 98263,39,47,97.7,0,0
8600000US98264,98264,ZCTA5 98264,9565,10367,89.3,0.4,2.5
8600000US98266,98266,ZCTA5 98266,1919,1647,94.9,0,2
8600000US98267,98267,ZCTA5 98267,179,269,81.9,0,0
8600000US98270,98270,ZCTA5 98270,23880,25107,83.8,0.9,6.9
8600000US98271,98271,ZCTA5 98271,14557,13952,78.5,0.8,3.4
8600000US98272,98272,ZCTA5 98272,16058,13481,86,2.1,2.2
8600000US98273,98273,ZCTA5 98273,15076,14918,78.8,1.4,2.2
8600000US98274,98274,ZCTA5 98274,8640,8940,78.6,0.1,4.4
8600000US98275,98275,ZCTA5 98275,10964,10030,74.4,1.2,17.7
8600000US98276,98276,ZCTA5 98276,348,341,86.6,0.9,0
8600000US98277,98277,ZCTA5 98277,18703,19229,76.4,5.3,7.9
